Date,[Author Year] {Qubit},DOI,Published?,Measured Lab,Notes,EJ (hGHz),EC (hGHz),EL (hGHz),fr (GHz),kappa/2pi (MHz),g/2pi (hMHz),Coherence Loc?,chi01 (hMHz),T1 (us),T2R (us),T2E (us),Fid_ro,Grounded/Floating,n_crit,n_ro,t_ro (us),Quantum Amplifier,Drive Lines,Bandaging,Cavity Type,Flux Noise Amplitude (uPhi0),Cap. Pad Material,Qubit Image,Measured Area/Perim Image,Loop area (um^2),Loop Perimeter (um),Measured JJ Area,JJ in Array area (um^2),n_JJ_in_Array,Special Name,Substrate,Superinductance,# Other Qb,Jc (uA/um^2),tan(deltaC) (x10^6)
2018/06/14,[Kou 2018] B,10.1103/PhysRevApplied.9.064022,Published,Yale,Also inductively coupled readout,8.76,3.14,0.39,7.979,14,,half-flux,,100,13,,0.95,floating,,1,5,JPC,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-01_153545.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_173025.png,348.2,111.7,,,131,,Sapphire,Dolan JJ Array,One,,
2018/06/14,[Kou 2018] A,10.1103/PhysRevApplied.9.064022,Published,Yale,Also inductively coupled readout,9.08,3.31,0.38,7.43,10,,half-flux,,113,25,,0.95,floating,,1,5,JPC,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-01_153545.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_173025.png,348.2,111.7,,,131,,Sapphire,Dolan JJ Array,One,,
2018/05/30,[Vool 2018],10.1103/PhysRevApplied.9.054046,Published,Yale,SNAIL coupling to resonator. non-linear coupling. Note that loop area is reported. 25 um^2 difference between calculated value from approximation.,,,,6.82,16.8,0.87,half-flux,0.7,5.7,6,,,floating,,,,JPC,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_152438.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_181650.png,350,119,,,,,Sapphire,Bridge-less JJ,Zero,,
2018/04/13,[Lin 2018],10.1103/PhysRevLett.120.150503,Published,UMD,"Split junction fluxonium — two fluxes. Coherence isn’t exactly at half flux. Perimeter and area approximated using scale bar on JJ image, likely larger error bars",17.61,0.55,0.72,10.304,,92,non-half-integer (tunable Ej),,2000,4,,,floating,,,,None,global flux,None,3D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_134454.png,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-18_154751.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-18_154857.png",365,119,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-18_154529.png,1.16,,,Si,Dolan JJ Array,Zero,,
2018/04/13,[Earnest 2018],10.1103/PhysRevLett.120.150504,Published,SchusterLab (Chicago),"Coherence  is not exactly on the half flux point. ",8.11,0.46,0.24,4.95,9.9,76,non-half-integer,,8000,0.5,1.3,,floating,,,,None,on-chip flux,None,2D,,Nb,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-01_215732.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_175629.png,204,66.5,,,100,Heavy Fluxonium,Sapphire,Bridge-less JJ,Zero,,
2017/08/29,[Kou 2017] A,10.1103/PhysRevX.7.031037,Published,Yale,"Molecule, so shouldn’t be really included in fluxonium",9.5,3.4,1.1,7.875,6,,fluxonium molecule,,50,1.25,54,,floating,,,,,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_133029.png,,,,,,,fluxonium molecule,Sapphire,Bridge-less JJ,Zero,,
2017/08/29,[Kou 2017] A,10.1103/PhysRevX.7.031037,Published,Yale,"Molecule, so shouldn’t be really included in fluxonium",9.8,3.3,1.2,7.875,6,,fluxonium molecule,,300,0.31,1.2,,floating,,,,,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_133029.png,,,,,,,fluxonium molecule,Sapphire,Bridge-less JJ,Zero,,
2017/08/29,[Kou 2017] A,10.1103/PhysRevX.7.031037,Published,Yale,"Molecule, so shouldn’t be really included in fluxonium",9.4,3.4,1.2,7.875,6,,fluxonium molecule,,60,0.45,1.6,,floating,,,,,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_133029.png,,,,,,,fluxonium molecule,Sapphire,Bridge-less JJ,Zero,,
2016/11/03,[Yan 2016],10.1038/ncomms12964,Published,MIT,"Not clear how to convert Supp. Table 1 parameters into Ej, El, Ec. Skipping for now. Come back to later",,,,,,,,,,,,,floating,,,,,,,,,Al,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_164333.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_164357.png",Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_201757.png,36,24,,,,CSFQ,Sapphire,,,,
2016/10/14,[Smith 2016] B,10.1103/PhysRevB.94.144507,Published,Yale,,9.08,3.28,0.378,,,,,,,,,,grounded,,,30,None,global flux,None,Antenna,,Al,,,,,,,,,Sapphire,Bridge-less JJ,Zero,,
