Date,[Author Year] {Qubit},DOI,Published?,Measured Lab,Notes,EJ (hGHz),EC (hGHz),EL (hGHz),fr (GHz),kappa/2pi (MHz),g/2pi (hMHz),Coherence Loc?,chi01 (hMHz),T1 (us),T2R (us),T2E (us),Fid_ro,Grounded/Floating,n_crit,n_ro,t_ro (us),Quantum Amplifier,Drive Lines,Bandaging,Cavity Type,Flux Noise Amplitude (uPhi0),Cap. Pad Material,Qubit Image,Measured Area/Perim Image,Loop area (um^2),Loop Perimeter (um),Measured JJ Area,JJ in Array area (um^2),n_JJ_in_Array,Special Name,Substrate,Superinductance,# Other Qb,Jc (uA/um^2),tan(deltaC) (x10^6)
2024/11/25,[Sashwat 2024] 4,10.48550/arXiv.2411.16648,arXiv,Princeton,"Fluxonium Molecule, don’t use in comparison. Ec is only global capacitance, shared inductance is not accounted. T1 is for the [I] mode.",0.48,2.5,0.48,,,,fluxonium molecule,,15,1.4,,,floating,,,,None,on-chip flux,Ion-Mill During JJ,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_133236.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_202219.png,5454,651,,,,Protomon,Sapphire,Dolan JJ Array,Zero,,
2024/11/25,[Sashwat 2024] 3,10.48550/arXiv.2411.16648,arXiv,Princeton,"Fluxonium Molecule, don’t use in comparison. Ec is only global capacitance, shared inductance is not accounted. T1 is for the [I] mode.",0.36,2.5,0.36,,,,fluxonium molecule,,87,3.9,,,floating,,,,None,on-chip flux,Ion-Mill During JJ,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_133236.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_202219.png,5454,651,,,,Protomon,Sapphire,Dolan JJ Array,Zero,,
2024/11/25,[Sashwat 2024] 2,10.48550/arXiv.2411.16648,arXiv,Princeton,"Fluxonium Molecule, don’t use in comparison. Ec is only global capacitance, shared inductance is not accounted. T1 is for the [I] mode.",0.3,3.5,0.3,,,,fluxonium molecule,,38,0.25,,,floating,,,,None,on-chip flux,Ion-Mill During JJ,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_133236.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_202219.png,5454,651,,,,Protomon,Sapphire,Dolan JJ Array,Zero,,
2024/11/25,[Sashwat 2024] 1,10.48550/arXiv.2411.16648,arXiv,Princeton,"Fluxonium Molecule, don’t use in comparison. Ec is only global capacitance, shared inductance is not accounted. T1 is for the [I] mode.",0.15,2.4,0.15,,,,fluxonium molecule,,64,0.47,,,floating,,,,None,on-chip flux,Ion-Mill During JJ,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_133236.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_202219.png,5454,651,,,,Protomon,Sapphire,Dolan JJ Array,Zero,,
2024/11/22,[Yilmaz 2024],10.48550/arXiv.2411.15039,arXiv,Delft,Coherence not reported at all (potentially quite low),4.028,0.943,0.775,,,85.15,half-flux,,,,,,floating,,,,None,"charge drive, on-chip flux",Ex-situ,2D,,NbTiN,"Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_215952.png, Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_220355.png",Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_205858.png,1463,534,,0.1681,100,,Si,Manhattan JJ Array,Zero,,
2024/11/20,[Stefanaski 2024],10.48550/arXiv.2411.13437,arXiv,Delft,pulse off the sweet spot to do readout,3.82,0.865,0.822,5.175,6.04,37.2,half-flux,0.92,,,,0.943,floating,,,0.28,None,"charge drive, on-chip flux",Ex-situ,2D,,NbTiN,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-07_220719.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_205858.png,1463,534,,,100,,Si,Manhattan JJ Array,One,,
2024/11/08,[Nie 2024],10.1103/PhysRevApplied.22.054021,Published,UIUC,"SNAIL coupling to readout resonator. No QND readout fidelity reported. ",5.54,0.89,0.47,6.245,0.4,,half-flux,0.55,56,47,61,,floating,,,,TWPA,"charge drive, global flux",,2D,,Ta,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_122438.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_212432.png,552,133,,,,,Sapphire,Bridge-less JJ,Zero,,
2024/11/04,[Lin 2024] B,10.48550/arXiv.2407.15783,arXiv,UMD,,6.27,0.99,1.16,7.475,9,,half-flux,6.5,160,110,150,,floating,,,,JTWPA,"charge drive, global flux",None,3D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_121528.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_212242.png,521,183,,,,,Sapphire,Dolan JJ Array,One,,
2024/11/04,[Mencia 2024] B,10.1103/PRXQuantum.5.040318,Published,UMD,"Coherence is measured at 0 flux ",3.84,1.75,0.14,,,,0-flux,,101,61,201,,floating,,,,None,global flux,None,3D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_103137.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_180832.png,841,183,,,,Integer Fluxonium,Si,Dolan JJ Array,Zero,,
2024/11/04,[Mencia 2024] C,10.1103/PRXQuantum.5.040318,Published,UMD,Coherence is measured at 0 flux. This qubit is inductively coupled to the readout resonator — antenna?,7.2,2.04,0.18,,,,0-flux,,328,57,81,,floating,,,,None,global flux,None,Antenna,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_103137.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_180832.png,841,183,,,,Integer Fluxonium,Si,Dolan JJ Array,Zero,,
2024/11/04,[Mencia 2024] D,10.1103/PRXQuantum.5.040318,Published,UMD,"Coherence is measured at 0 flux ",6.86,1.46,0.23,,,,0-flux,,255,118,185,,floating,,,,None,global flux,None,3D,,Al,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-06_103137.png,Fluxonium%20Qubits%20122b0deae41080ff93c9df95db61e38e/Screenshot_2025-01-08_180832.png,841,183,,,,Integer Fluxonium,Si,Dolan JJ Array,Zero,,
